"1 days ago","1 يوم"
"2 days ago","2 يوم"
"3 days ago","3 يوم"
"4 days ago","4 يوم"
"5 days ago","5 يوم"
"6 days ago","6 يوم"
"7 days ago","7 يوم"
"8 days ago","8 يوم"
"9 days ago","9 يوم"
"10 days ago","10 يوم"
"11 days ago","11 يوم"
"12 days ago","12 يوم"
"13 days ago","13 يوم"
"14 days ago","14 يوم"
"15 days ago","15 يوم"
"16 days ago","16 يوم"
"17 days ago","17 يوم"
"18 days ago","18 يوم"
"19 days ago","19 يوم"
"Select Make","اختر النوع"
"Select Model","اختر الموديل"
"Select Year","اختر السنة"
"Make","النوع"
"Model","الموديل"
"Year","السنة"
"Ford","فورد"
"CHEVY","شيفرولية"
"Chevy","شيفرولية‎‎‎"
"GMC", "جي ام سي"
"Jeep", "جيب"
"Silverado 1500", "سيلفرادو 1500"
"Wrangler JK 2-Door", "رانجلر بابين"
"Wrangler Unlimited JK 4-Door", "رانجلر أربع أبواب"
"SVT Raptor", "رابتر"
"Sierra 1500", "سييرا 1500"
"Products for ", "المنتجات لل"
"Select Vehicles", "المركبات السابقة"
"Clear selected vehicle", "السيارة المختارة واضحة"
"or previously selected vehicles", "مركبات تم اختيارها سابقاً"
"Toyota", "تويوتا"
"FJ Cruiser", "اف جي كروزر"
"Send password", "إرسال كلمة المرور"
"Return to login", "العودة إلى تسجيل الدخول"
"E-mail", "البريد الإلكتروني"
"Please enter a username and password.", "يرجى إدخال اسم المستخدم و كلمة المرور"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.", "قدم استفسارك و سوف يتم الرد ل في أقرب وقت ممكن . أشكركم على الاتصال بنا"
"in your cart.", "عنصر في عربة التسوق"
"Added to your cart", "عنصر في عربة التسوق"
"items", "سلع"
"item", "سلعة"
"Sorry, no products match your search query.", "آسف ، لا توجد منتجات تطابق بحثك"
"Filter By", "تصفية حسب"
"Tracking Orders", "تتبع الطلبيات"
"Special Offers!", "عروض خاصة"
"My Account", "حسابي"
"Brands", "العلامات التجارية"
"Search Store", "ابحث هنا‎‎"
"Subtotal", "االمجموع الفرعي"
"Your email address", "عنوان بريدك الإلكتروني"
"(Signout)", "تسجيل خروج‎"
"Sign Out", "تسجيل خروج‎"
"Signout", "تسجيل خروج"
"For customers located out of delivery service areas, please call or choose 'Warehouse Pick-up' as your shipping option (Located in Dubai Industrial City)",  "لسكان المناطق الموجودة خارج نطاق خدمة شركة التوصيل، يرجى الاتصال بنا أو اختيار خدمة "استلام الطلب من المستودع" بمدينة دبي الصناعية"
"Your order has been received.","تم استلام طلبك"
"Your order # is:", "رقم طلبك هو" 
"You are now logged out", "لقد قمت بتسجيل خروج"
"You have logged out and will be redirected to our homepage in 5 seconds.", "سيتم توجيهك الآن إلى الصفحة الرئيسية"
"Your order has been received.", "لقد تم استلام طلبك."
"You will receive an order confirmation email with the details of your order and a link to track its progress.", "سوف تتلقى رسالة بالبريد الإلكتروني تتضمن تفاصيل طلبك."
"a copy of your order confirmation", "نسخة من تأكيد طلبك"
"here to print", "هنا لطباعة"
"Notify me by email", "اخطارك بالبريد الالكتروني عندما تتم الإجابة على سؤالك"
"Click", "انقر"
"a copy of your order confirmation", "نسخة من تأكيد طلبك"
"Please wait while your payment is being processed...", "يرجى الانتظار بينما يتم معالجة الدفع الخاص بك ..."
"Maximum 'Cash On Delivery' amount is AED2500 per shipment.", "الحد الأقصي للدفع عند التوصيل هو ٢٥٠٠درهم لكل شحنه."
"2014 تشيفي سيلفرادو 1500 ","2014 شيفرولية سيلفرادو 1500‎"
"Chevy Silverado","سيلفرادو شيفرولية"
"Customers also bought","زبائننا اشتروا أيضا"
"Related Products","منتجات ذات صلة"
"Q","السؤال"
"Ok","حسناً"
"Wrong captcha code!","كود الكابتشا غير صحيح!"
"Your question has been added","تمت إضافة سؤالك"
"Your question has been sent for moderation","تم إرسال سؤالك إلى الاعتدال"
"Wrong captcha code!","عذرا، لم تقم بإدخال كود الحماية المبين في الصورة بشكل صحيح، يرجى إعادة المحاولة"
"A","الجواب"
"Name","اسمك"
"Sign Up for Newsletter","الاشتراك في النشرة البريدية"
"Please, enter the text shown in the image into the field below","ادخل من فضلك النص المبين أدناه في حقل كود الحماية"
"Add Question","ارسل السؤال"
"Please, enter email...","يرجى ادخال بريدك الإلكتروني"
"Check if you want to subscribe to our newsletter","يرجى الاختيار في حال رغبتك بالاشتراك في خدمتنا البريدية"
"SKU", "رقم المنتج"
"New Bedrug Products", "منتجات بيد راق الجديدة"
"Items Ordered", "المنتجات التي تم طلبها"
"Ordered:", "العدد"
"SRC Tubular Doors", "أبواب سميتي بيلت الرياضية"
"New - VisionX Vortex", "جديد - فيجين اكس"
"Trail Doors", "أبواب رياضية"
"Apply Coupon", "استخدم الكوبون"
"Coupon Testing", "اختبار القسيمة"
"Coupon code was applied", "‫تم استخدام كود الكوبون‬‎"
"Coupon code was canceled", "‫تم الغاء كود الكوبون‬‎"
"Coupon code "%s" is not valid", "كوبون الخصم الذي ادخلته غي ر صحيح "%s""
"Special Offer", "عرض خاص"
"Coupon code ""%s"" was applied.","تم تفعيل ""%s"" كوبون الخصم"
"Coupon code was canceled.","تم إلغاء كوبون الخصم"
"50 inch Light Bar Mount", "قاعدة كشاف 50 انش"
